pos	campo	tipo	nulos	ceros
1	numero_de_cliente	integer	0	0
2	foto_mes	integer	0	0
3	active_quarter	integer	153386	67807
4	cliente_vip	integer	143762	4728637
5	internet	integer	0	2290390
6	cliente_edad	integer	0	87
7	cliente_antiguedad	integer	0	0
8	mrentabilidad	numeric	417584	12082
9	mrentabilidad_annual	numeric	417584	10354
10	mcomisiones	numeric	417584	129278
11	mactivos_margen	numeric	417584	202399
12	mpasivos_margen	numeric	417584	58101
13	cproductos	integer	0	0
14	tcuentas	integer	0	0
15	ccuenta_corriente	integer	0	0
16	mcuenta_corriente_adicional	numeric	0	4889978
17	mcuenta_corriente	numeric	0	2425857
18	ccaja_ahorro	integer	0	0
19	mcaja_ahorro	numeric	0	327802
20	mcaja_ahorro_adicional	numeric	0	4778872
21	mcaja_ahorro_dolares	numeric	0	2100926
22	cdescubierto_preacordado	integer	0	186934
23	mcuentas_saldo	numeric	153386	32670
24	ctarjeta_debito	integer	0	2524
25	ctarjeta_debito_transacciones	integer	153386	1549971
26	mautoservicio	numeric	153386	1550016
27	ctarjeta_visa	integer	0	225904
28	ctarjeta_visa_transacciones	integer	153386	714248
29	mtarjeta_visa_consumo	numeric	153386	714248
30	ctarjeta_master	integer	0	558758
31	ctarjeta_master_transacciones	integer	153386	3005593
32	mtarjeta_master_consumo	numeric	153386	3005593
33	cprestamos_personales	integer	0	3628619
34	mprestamos_personales	numeric	0	3628619
35	cprestamos_prendarios	integer	0	4835015
36	mprestamos_prendarios	numeric	0	4835382
37	cprestamos_hipotecarios	integer	0	4832321
38	mprestamos_hipotecarios	numeric	0	4832321
39	cplazo_fijo	integer	0	4302275
40	mplazo_fijo_dolares	numeric	0	4312164
41	mplazo_fijo_pesos	numeric	0	4871057
42	cinversion1	integer	0	4712291
43	minversion1_pesos	numeric	0	4727227
44	minversion1_dolares	numeric	0	4866876
45	cinversion2	integer	0	4720249
46	minversion2	numeric	0	4720511
47	cseguro_vida	integer	0	4177672
48	cseguro_auto	integer	0	4772479
49	cseguro_vivienda	integer	0	4242239
50	cseguro_accidentes_personales	integer	0	4088274
51	ccaja_seguridad	integer	0	4551003
52	cpayroll_trx	integer	0	2373332
53	mpayroll	numeric	0	2390279
54	mpayroll2	numeric	0	4884663
55	cpayroll2_trx	integer	0	4884658
56	ccuenta_debitos_automaticos	integer	0	2554449
57	mcuenta_debitos_automaticos	numeric	0	2554449
58	ctarjeta_visa_debitos_automaticos	integer	254742	1660514
59	mttarjeta_visa_debitos_automaticos	numeric	127059	1702966
60	ctarjeta_master_debitos_automaticos	integer	0	4087041
