Feature	Gain	Cover	Frequency
rf_004_022	0.134871946423829	0.00472650078848057	0.00513347022587269
ctrx_quarter	0.0801387844077781	0.00192946968170726	0.00126362344021482
rf_009_015	0.0718847308962091	0.00206089601894603	0.00252724688042963
rf_018_027	0.0462327831712724	0.00192059042577382	0.00229031748538935
rf_008_022	0.0419761493863964	0.00120519983886641	0.00197441162533565
vm_status01	0.0327197201480099	0.000807261070006269	0.000552835255093982
mpasivos_margen_rank	0.0238316515680335	0.00671210353812135	0.00473858790080556
rf_006_019	0.0223218935387871	0.00242880488102893	0.00434370557573843
mcuenta_corriente_rank	0.0213870259346476	0.00651955761938712	0.00529142315589954
mcaja_ahorro_rank	0.0202212261510778	0.00248751778809155	0.00165850576528195
rf_013_026	0.016618493880328	0.00452316954277464	0.00252724688042963
mpayroll_sobre_edad_rank	0.016348589493488	0.00188059504815036	0.00110567051018796
cdescubierto_preacordado	0.0151603514675268	0.0130208655688598	0.00687095245616806
mcuentas_saldo_rank	0.0127698251689911	0.00423954466102582	0.00284315274048334
mpayroll_rank	0.0123973303403381	0.00157923621243703	0.000868741115147686
vm_status06_tend6	0.012113615219503	0.00173251593434143	0.00078976465013426
mprestamos_personales_rank	0.0111064847826527	0.0109498831786251	0.00537039962091297
ctrx_quarter_delta2	0.00845420716745839	0.00269934417895017	0.00268519981045648
mcomisiones_mantenimiento_rank_tend6	0.00811375846655659	0.0033920375968539	0.00252724688042963
Visa_status_tend6	0.00799409312741768	0.00186162375371999	0.00110567051018796
rf_003_018	0.0074410417832891	0.00252475449468143	0.00284315274048334
mcaja_ahorro_rank_lag1	0.00701299556539013	0.00112005444287975	0.00150055283525509
Visa_status	0.00682530842186975	0.000442035316180392	0.000315905860053704
rf_010_015	0.00675803154945898	0.00176910217136326	0.00134259990522824
vm_status04_tend6	0.00639924591989059	0.00102730995033222	0.000473858790080556
foto_mes	0.0063582792092228	0.00919785567600104	0.00979308166166482
rf_017_021	0.00596842273467074	0.000549714791511362	0.00039488232506713
mcuentas_saldo_rank_tend6	0.00561500166984304	0.00377373729534545	0.00386984678565787
mpasivos_margen_rank_lag2	0.00482322979284006	0.00270549561865045	0.00371189385563102
cproductos_delta2	0.00442055653485339	0.001212761154039	0.000552835255093982
mactivos_margen_rank	0.00440002732094302	0.00487896254332891	0.00418575264571158
mtarjeta_visa_consumo_rank	0.00429952730183552	0.00124213681310935	0.00110567051018796
ctarjeta_visa_transacciones_tend6	0.00417097012852126	0.00209811383484178	0.00157952930026852
rf_017_020	0.00412070137138152	0.000826462201215289	0.00110567051018796
ctrx_quarter_normalizado_delta2	0.00400674048367307	0.00234430806554092	0.00244827041541621
mprestamos_personales_rank_lag2	0.00387945002227858	0.00427650493379152	0.00244827041541621
rf_016_022	0.00382345267129301	0.00044266563567471	0.00039488232506713
rf_014_025	0.00338974504027705	0.0021882633757049	0.00268519981045648
internet	0.00314503928050967	0.0026532093257327	0.00308008213552361
mprestamos_personales_rank_tend6	0.00313076060950502	0.0018697883117253	0.00102669404517454
cliente_vip_delta1	0.003006789444677	0.00147026524331701	0.00078976465013426
mcuentas_saldo_rank_delta2	0.00293743986265511	0.00462844045460335	0.00544937608592639
thomebanking	0.00287253183116303	0.00341310386926388	0.00544937608592639
mcuenta_corriente_rank_tend6	0.00285434429158814	0.00500966158884347	0.00323803506555047
mcuenta_corriente_rank_lag1	0.00282922119679156	0.0036025221187391	0.00300110567051019
mpayroll_rank_lag2	0.00276397372723931	0.0030552297439057	0.00150055283525509
tcallcenter	0.0027214919994375	0.00228188817459914	0.00142157637024167
rf_007_015	0.00267068674426519	0.00122307421365732	0.00157952930026852
vm_status02_delta1	0.00267049265247916	0.00060385363183399	0.000552835255093982
ccomisiones_mantenimiento_tend6	0.002669850639795	0.00248423143700179	0.00118464697520139
Visa_mpagominimo_rank	0.00257829646682362	0.00505215179747241	0.00560732901595325
rf_001_022	0.00256794270143218	0.00133077824689067	0.00221134102037593
ctrx_quarter_tend6	0.00249839868415436	0.00125288183993356	0.00126362344021482
ccomisiones_mantenimiento_delta2	0.00248615104258213	0.000346503186868287	0.000157952930026852
mprestamos_personales_rank_lag1	0.00242316055317071	0.00269679708369091	0.00165850576528195
Visa_delinquency	0.00232769324468341	0.00246509201539361	0.00173748223029537
ctrx_quarter_normalizado_delta1	0.00230716801556809	0.002552431880349	0.00165850576528195
mrentabilidad_annual_rank_lag1	0.00228976124118478	0.00309335746156897	0.00410677618069815
ctrx_quarter_delta1	0.00218931173178428	0.00243553500565957	0.00150055283525509
mrentabilidad_annual_rank_lag2	0.00218198842602113	0.0051220662564675	0.00694992892118149
Visa_mpagominimo_rank_lag1	0.00192637746913766	0.00226077152700479	0.00236929395040278
mcuentas_saldo_rank_delta1	0.0019123873985667	0.00283772606976959	0.00276417627546991
cproductos	0.00187245676532385	0.00876233764929736	0.00402779971568473
mactivos_margen_rank_lag1	0.00186521782121934	0.00423765999944091	0.00323803506555047
mrentabilidad_annual_rank_delta2	0.00180015067052232	0.00372075834364273	0.00687095245616806
mcomisiones_rank_lag2	0.00179813371851736	0.0035715344537692	0.00552835255093982
rf_012_028	0.00176300955157496	0.000140500167321805	7.8976465013426e-05
mcuentas_saldo_rank_lag2	0.00174048708000725	0.00342846515204498	0.0036329173906176
cproductos_tend6	0.00169761947223368	0.000818567150446303	0.00039488232506713
Visa_msaldototal_rank	0.00167501612565441	0.00237645750820015	0.00284315274048334
mcuenta_debitos_automaticos_rank	0.00166658618773376	0.00178559437703326	0.00110567051018796
Master_status_delta2	0.00166601479378185	0.00016635586038492	0.000236929395040278
Master_fultimo_cierre_tend6	0.00166343766691522	0.00130075211825226	0.00205338809034908
rf_009_026	0.00163797054253585	0.000108807879460657	7.8976465013426e-05
Visa_mpagospesos_rank_tend6	0.00163403946461321	0.00326316528146223	0.00521244669088612
mcomisiones_otras_rank_lag2	0.00159000995431133	0.00302977579293786	0.00544937608592639
mtransferencias_recibidas_rank	0.00153417310396985	0.00239748222108304	0.0018164586953088
ccaja_ahorro	0.00151183590923838	0.00969725384430317	0.00442268204075186
mrentabilidad_annual_rank	0.00151061375481091	0.00304332293939216	0.00315905860053704
mttarjeta_visa_debitos_automaticos_rank_tend6	0.0015024456327951	0.00363316912152475	0.00236929395040278
cproductos_delta1	0.00149134610786676	0.000346503186868287	0.000157952930026852
mtarjeta_visa_consumo_rank_delta2	0.00147502976273534	0.00226893230687128	0.00205338809034908
ctrx_quarter_normalizado_tend6	0.00146297576198697	0.00242060506039456	0.00221134102037593
mcomisiones_rank_delta2	0.00146110946349594	0.00398868379918543	0.00616016427104723
vm_cconsumos_delta2	0.00144957858868266	0.000693006373736573	0.000315905860053704
cprestamos_personales_lag1	0.00137793011347372	0.00067808398474922	0.00039488232506713
mcomisiones_otras_rank_lag1	0.00135295988425954	0.00279426362008248	0.00386984678565787
mrentabilidad_annual_rank_delta1	0.00129793594046651	0.00328077707560466	0.00521244669088612
mrentabilidad_rank_lag2	0.00126322908730865	0.00415429599591122	0.0057652819459801
Master_fechaalta	0.00125233855768782	0.0035000426218138	0.00584425841099352
cdescubierto_preacordado_lag2	0.00125038894199257	0.00539135499043697	0.00315905860053704
vm_fechaalta_lag2	0.00122354842890918	0.00258031139644382	0.0036329173906176
mcuenta_corriente_rank_lag2	0.00117504886391518	0.00545104580576599	0.00442268204075186
mactivos_margen_rank_delta2	0.00117208393371462	0.00395560241561552	0.00592323487600695
vm_msaldopesos_rank	0.00117093869350962	0.000655437820619709	0.000631811720107408
mprestamos_personales_rank_delta2	0.0011427468856917	0.00231641343689079	0.00126362344021482
Visa_mpagominimo_rank_lag2	0.00112667677640243	0.00292395453222001	0.00355394092560417
rf_013_024	0.00111672364765841	0.000967441562478328	0.00142157637024167
Visa_fultimo_cierre_tend6	0.00110792521299704	0.00159188101340146	0.00221134102037593
cliente_edad_lag2	0.00109540501144343	0.00413359746234707	0.00308008213552361
mrentabilidad_rank_delta2	0.00107271348456989	0.00301532944944272	0.00544937608592639
Visa_msaldopesos_rank_lag2	0.0010643388706561	0.00151592908856069	0.00197441162533565
rf_012_027	0.00106103071821287	0.00208777369856187	0.00379087032064445
Visa_mfinanciacion_limite_rank	0.00105607495445887	0.00194604374705185	0.00268519981045648
mactivos_margen_rank_delta1	0.00105403515903314	0.00383863501566799	0.00450165850576528
Visa_msaldopesos_rank	0.00105208402972549	0.00162858752117595	0.00221134102037593
Visa_msaldopesos_rank_delta2	0.00102480313760035	0.00168480937537191	0.00236929395040278
Visa_cconsumos_tend6	0.00102073755063684	0.00337385089591995	0.00465961143579213
vm_mpagospesos_rank_tend6	0.0010161365792452	0.00098575420137318	0.00102669404517454
vm_fechaalta	0.00100777127703281	0.00314984441517263	0.00379087032064445
mcomisiones_mantenimiento_rank_delta2	0.000988244899387092	0.00405248208110929	0.00244827041541621
Visa_mconsumototal_rank_delta1	0.000963327035142182	0.00157612554480274	0.00268519981045648
mtarjeta_visa_consumo_rank_delta1	0.000933840849264034	0.000763570672609928	0.000631811720107408
Visa_mfinanciacion_limite_rank_tend6	0.000929143396168041	0.00388416410729351	0.00489654083083241
ctarjeta_visa_transacciones_delta2	0.000916986434341381	0.00399993005909403	0.00236929395040278
mcomisiones_otras_rank_delta1	0.000913300365272026	0.0025941482002082	0.0036329173906176
ctarjeta_visa_delta2	0.000907564293533083	0.000173251593434143	7.8976465013426e-05
Master_delinquency	0.000905605630700082	0.00398081267662901	0.00260622334544306
rf_009_025	0.000897822724896093	0.00160306430432962	0.00205338809034908
mcomisiones_otras_rank_delta2	0.000894574710017536	0.00321187767657444	0.00513347022587269
Master_mfinanciacion_limite_rank_tend6	0.000887409364229645	0.00297481268866113	0.00473858790080556
Master_fechaalta_lag2	0.000879136091053312	0.00269717363819401	0.004264729110725
Visa_fechaalta	0.000877195035479528	0.0024688569307348	0.00347496446059074
Master_fechaalta_lag1	0.000869563159744636	0.003114011287157	0.00489654083083241
Visa_Fvencimiento_tend6	0.000867043866692977	0.00146100565474164	0.00150055283525509
thomebanking_lag1	0.000855305748560635	0.00228898037086737	0.00442268204075186
mrentabilidad_rank_delta1	0.000854070437453987	0.00281726555895154	0.00442268204075186
Visa_mconsumototal_rank	0.000850618024411041	0.002555334120658	0.00410677618069815
mcaja_ahorro_dolares_rank	0.000849100797210069	0.00335230605925853	0.00244827041541621
mpasivos_margen_rank_lag1	0.000846637174539467	0.00158818725300819	0.00197441162533565
rf_016_020	0.000845199126734725	0.00147345714093609	0.0021323645553625
Visa_msaldopesos_rank_tend6	0.000844411199991731	0.00268125067210728	0.00300110567051019
chomebanking_transacciones	0.000842596009704487	0.0028779947327682	0.00323803506555047
Master_fechaalta_tend6	0.000828589767960504	0.00051894688828324	0.000631811720107408
cliente_edad_lag1	0.000820135560305443	0.00355291515593955	0.00308008213552361
thomebanking_lag2	0.000819144434357249	0.00282922777616788	0.00537039962091297
Visa_mpagospesos_rank_delta2	0.000818154259657386	0.00163943140929947	0.00331701153056389
chomebanking_transacciones_lag2	0.000818136350747741	0.00222476397491331	0.0036329173906176
Visa_mconsumospesos_rank	0.000816554587071138	0.00236439391092528	0.0036329173906176
vm_Fvencimiento_lag2	0.000808955858190618	0.00204265894282772	0.00308008213552361
Visa_mconsumototal_rank_delta2	0.000804356694644605	0.00174720785686033	0.00308008213552361
vmr_mpagominimo_lag2	0.000797036307342923	0.00284587740428901	0.00276417627546991
mcomisiones_otras_rank_tend6	0.00079396082795735	0.00217928651785176	0.00276417627546991
mcomisiones_rank_lag1	0.000779495873603392	0.0017417339633897	0.00252724688042963
vm_fultimo_cierre_tend6	0.00077926738253955	0.00143768761159072	0.0018164586953088
rf_017_016	0.000767833667040161	0.00180627590897269	0.0021323645553625
Visa_cconsumos	0.000764023361111994	0.00258265510189622	0.00323803506555047
Visa_fechaalta_lag1	0.000759357314518348	0.00177219772644224	0.00268519981045648
mrentabilidad_rank_lag1	0.000751522742590674	0.00238627878008114	0.00323803506555047
rf_003_019	0.000746302556693639	0.000249493175584988	0.000236929395040278
cdescubierto_preacordado_lag1	0.000746288455184289	0.00394516026958728	0.0021323645553625
vm_fechaalta_lag1	0.000730062668505168	0.00209224701493313	0.00355394092560417
mcomisiones_otras_rank	0.000728604053715324	0.0020543491340485	0.00355394092560417
mpasivos_margen_rank_delta1	0.000726110428939653	0.00274567927352546	0.00355394092560417
mrentabilidad_rank	0.00071496877277325	0.00240247440185322	0.00268519981045648
Visa_msaldototal_rank_delta2	0.000707477103199093	0.00120591642586395	0.00197441162533565
Visa_mlimitecompra_rank_delta2	0.000705759544423952	0.00326418348987613	0.00465961143579213
cmobile_app_trx_lag2	0.000701340732495351	0.00141782593577676	0.00165850576528195
mpasivos_margen_rank_delta2	0.000700929447657129	0.00249080036104247	0.00450165850576528
Visa_mpagospesos_rank_lag1	0.000697286356315359	0.00159463023908797	0.00292212920549676
Master_mfinanciacion_limite_rank_delta2	0.00068532941992613	0.0024010349309601	0.00371189385563102
mcuenta_corriente_rank_delta2	0.000680688958340835	0.00285535738429596	0.00165850576528195
mpagomiscuentas_rank	0.000678724264277552	0.00172904508413896	0.000947717580161112
rf_004_021	0.000678492895802923	0.00111909038778904	0.000552835255093982
mcomisiones_rank	0.000674470187858281	0.00210751825207218	0.00292212920549676
mcomisiones_rank_tend6	0.000669601214021699	0.00246501393385785	0.00323803506555047
Master_Fvencimiento	0.000669221262355877	0.00290129262584539	0.00434370557573843
Visa_mconsumototal_rank_lag1	0.000665617919387247	0.00156515823747753	0.00315905860053704
Master_mlimitecompra_rank_delta2	0.000661833573578784	0.00309068190958959	0.00458063497077871
Visa_mlimitecompra_rank_tend6	0.000657700848309935	0.00314087763235636	0.00434370557573843
mactivos_margen_rank_lag2	0.000657659496220796	0.00290128192111871	0.0039488232506713
vm_msaldototal_rank	0.000649726441857193	3.46134188642842e-05	7.8976465013426e-05
Visa_mconsumospesos_rank_tend6	0.00064857761533665	0.00216148707614759	0.0039488232506713
Visa_msaldototal_rank_lag1	0.000647594865354758	0.00148057956231493	0.0021323645553625
Visa_mpagospesos_rank_delta1	0.000643995226301721	0.00190638903161263	0.0036329173906176
mpayroll_rank_tend6	0.000642348294866227	0.00176870798554563	0.000947717580161112
Visa_cconsumos_delta2	0.000634344366330436	0.00112309143680691	0.00134259990522824
ccaja_ahorro_lag2	0.00063400730903952	0.00952883763887788	0.00434370557573843
Visa_delinquency_lag1	0.000632834749468422	0.00296812223448817	0.00165850576528195
vmr_msaldopesos2_tend6	0.000631527241800079	0.00258388488608444	0.00173748223029537
mttarjeta_visa_debitos_automaticos_rank_delta2	0.000629319164619142	0.000959498025594394	0.000710788185120834
vm_mpagominimo_rank_lag2	0.000623755619817985	0.00126877017308104	0.00157952930026852
vm_mlimitecompra_rank_tend6	0.000620067153857962	0.00375515137107543	0.00308008213552361
Visa_mpagominimo_rank_delta2	0.000617067429593306	0.00212818719021552	0.00252724688042963
rf_002_026	0.00061499085667479	0.0005033286920619	0.000473858790080556
Visa_fechaalta_lag2	0.000614556347430524	0.00249949008034475	0.00339598799557732
Master_mfinanciacion_limite_rank_lag2	0.000613101565819137	0.00237087908622196	0.00339598799557732
ctarjeta_visa_transacciones	0.000603317990104471	0.00159453389654788	0.00134259990522824
ccomisiones_mantenimiento_delta1	0.000594591438230098	0.00190576752777558	0.000868741115147686
Visa_mpagospesos_rank	0.000594493789369558	0.00166767110796247	0.00252724688042963
Master_mfinanciacion_limite_rank_delta1	0.000593247233515053	0.00261911980878577	0.00458063497077871
Visa_Fvencimiento	0.000592740422399986	0.00175527607232556	0.00260622334544306
chomebanking_transacciones_delta1	0.000592484722572405	0.00345004965916408	0.00260622334544306
rf_007_018	0.000590585087966324	0.000976522948839017	0.000710788185120834
Master_mfinanciacion_limite_rank_lag1	0.000586977662641984	0.0026672174051239	0.00355394092560417
mactivos_margen_rank_tend6	0.000586452544102839	0.0019274389320877	0.00205338809034908
mcomisiones_mantenimiento_rank_lag2	0.00058464857140242	0.00333146710486797	0.00276417627546991
cliente_edad	0.00058258047015818	0.00248831371600445	0.00260622334544306
mcaja_ahorro_dolares_rank_delta2	0.000581493509427392	0.00250003539171546	0.00142157637024167
