pos	campo	tipo	nulos	ceros
1	numero_de_cliente	integer	0	0
2	foto_mes	integer	0	0
3	active_quarter	integer	0	8645
4	cliente_vip	integer	0	501852
5	internet	integer	0	456759
6	cliente_edad	integer	0	0
7	cliente_antiguedad	integer	0	0
8	cproductos	integer	0	0
9	tcuentas	integer	0	0
10	ccuenta_corriente	integer	0	0
11	ccaja_ahorro	integer	0	0
12	cdescubierto_preacordado	integer	0	20714
13	ctarjeta_debito	integer	0	294
14	ctarjeta_debito_transacciones	integer	0	153894
15	ctarjeta_visa	integer	0	28849
16	ctarjeta_visa_transacciones	integer	0	79545
17	ctarjeta_master	integer	0	55658
18	ctarjeta_master_transacciones	integer	0	316245
19	cprestamos_personales	integer	0	395447
20	cprestamos_prendarios	integer	0	499074
21	cprestamos_hipotecarios	integer	0	498608
22	cplazo_fijo	integer	0	438015
23	cinversion1	integer	0	483813
24	cinversion2	integer	0	487897
25	cseguro_vida	integer	0	446147
26	cseguro_auto	integer	0	488737
27	cseguro_vivienda	integer	0	439609
28	cseguro_accidentes_personales	integer	0	433074
29	ccaja_seguridad	integer	0	470576
30	cpayroll_trx	integer	0	235073
31	cpayroll2_trx	integer	0	503063
32	ccuenta_debitos_automaticos	integer	0	268285
33	ctarjeta_visa_debitos_automaticos	integer	0	187719
34	ctarjeta_master_debitos_automaticos	integer	0	426850
35	cpagodeservicios	integer	0	498763
36	cpagomiscuentas	integer	0	260762
37	ccajeros_propios_descuentos	integer	0	487063
38	ctarjeta_visa_descuentos	integer	0	475477
39	ctarjeta_master_descuentos	integer	0	481711
40	ccomisiones_mantenimiento	integer	0	344897
41	ccomisiones_otras	integer	0	15401
42	cforex	integer	0	460295
43	cforex_buy	integer	0	502087
44	cforex_sell	integer	0	461601
45	ctransferencias_recibidas	integer	0	129597
46	ctransferencias_emitidas	integer	0	202006
47	cextraccion_autoservicio	integer	0	254593
48	ccheques_depositados	integer	0	486335
49	ccheques_emitidos	integer	0	491549
50	ccheques_depositados_rechazados	integer	0	502690
51	ccheques_emitidos_rechazados	integer	0	502780
52	tcallcenter	integer	0	457810
53	ccallcenter_transacciones	integer	0	457810
54	thomebanking	integer	0	135796
55	chomebanking_transacciones	integer	0	84114
56	ccajas_transacciones	integer	0	457197
57	ccajas_consultas	integer	0	484869
58	ccajas_depositos	integer	0	492973
59	ccajas_extracciones	integer	0	475487
60	ccajas_otras	integer	0	492824
61	catm_trx	integer	0	296314
62	catm_trx_other	integer	0	396942
63	ctrx_quarter	integer	0	6780
64	cmobile_app_trx	integer	0	132473
65	Master_delinquency	integer	52797	448512
66	Master_status	integer	52797	447868
