envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	9000	-15000	105000	-15000	-15000	-15000	
6	30000	-18000	102000	-18000	-18000	102000	
7	27000	-21000	99000	-21000	-21000	99000	
8	48000	-24000	96000	-24000	96000	96000	
9	117000	93000	93000	-27000	213000	213000	
10	162000	90000	210000	-30000	210000	330000	
11	207000	207000	207000	-33000	207000	447000	
12	228000	204000	204000	-36000	324000	444000	
13	273000	201000	321000	-39000	441000	441000	
14	342000	318000	438000	-42000	438000	558000	
15	411000	315000	435000	75000	555000	675000	
16	408000	312000	432000	72000	552000	672000	
17	429000	309000	429000	189000	549000	669000	
18	450000	306000	546000	186000	546000	666000	
19	471000	303000	663000	183000	543000	663000	
20	516000	3e+05	780000	180000	540000	780000	
21	561000	297000	777000	177000	657000	897000	
22	582000	294000	774000	174000	774000	894000	
23	627000	411000	891000	171000	771000	891000	
24	672000	528000	888000	168000	888000	888000	
25	693000	645000	885000	165000	885000	885000	
26	762000	642000	1002000	282000	882000	1002000	
27	807000	639000	999000	399000	999000	999000	
28	9e+05	756000	996000	516000	1116000	1116000	
29	945000	753000	1113000	513000	1233000	1113000	
30	1014000	750000	1110000	630000	1350000	1230000	
31	1059000	867000	1107000	627000	1467000	1227000	
32	1080000	984000	1104000	624000	1464000	1224000	
33	1125000	981000	1221000	741000	1461000	1221000	
34	1146000	978000	1338000	738000	1458000	1218000	
35	1191000	1095000	1455000	735000	1455000	1215000	
36	1284000	1212000	1572000	852000	1572000	1212000	
37	1353000	1209000	1689000	969000	1689000	1209000	
38	1398000	1206000	1686000	966000	1806000	1326000	
39	1443000	1323000	1683000	963000	1803000	1443000	
40	1488000	1440000	1680000	960000	1800000	1560000	
41	1533000	1437000	1797000	957000	1797000	1677000	
42	1602000	1554000	1794000	1074000	1794000	1794000	
43	1647000	1551000	1911000	1191000	1791000	1791000	
44	1668000	1668000	1908000	1188000	1788000	1788000	
45	1761000	1785000	1905000	1305000	1905000	1905000	
46	1830000	1902000	1902000	1422000	2022000	1902000	
47	1923000	2019000	2019000	1419000	2139000	2019000	
48	1920000	2016000	2016000	1416000	2136000	2016000	
49	1989000	2133000	2013000	1533000	2133000	2133000	
50	2034000	2130000	2130000	1650000	2130000	2130000	
51	2103000	2247000	2127000	1767000	2127000	2247000	
52	2148000	2244000	2124000	1884000	2244000	2244000	
53	2169000	2241000	2121000	2001000	2241000	2241000	
54	2214000	2358000	2118000	2118000	2238000	2238000	
55	2259000	2355000	2115000	2235000	2235000	2355000	
56	2352000	2472000	2112000	2352000	2352000	2472000	
57	2349000	2469000	2109000	2349000	2349000	2469000	
58	2394000	2466000	2226000	2346000	2346000	2586000	
59	2439000	2463000	2223000	2463000	2343000	2703000	
60	2484000	2460000	2220000	2460000	2460000	2820000	
61	2553000	2457000	2337000	2577000	2577000	2817000	
62	2598000	2454000	2454000	2574000	2694000	2814000	
63	2667000	2571000	2451000	2691000	2811000	2811000	
64	2712000	2568000	2568000	2808000	2808000	2808000	
65	2733000	2565000	2565000	2925000	2805000	2805000	
66	2730000	2562000	2562000	2922000	2802000	2802000	
67	2775000	2559000	2679000	3039000	2799000	2799000	
68	2820000	2556000	2796000	3036000	2916000	2796000	
