Feature	Gain	Cover	Frequency
rf_003_021	0.14524961193517	0.00428550949673112	0.00172901392593387
rf_018_027	0.0521937934950251	0.00232454710713457	0.00306933479875082
rf_013_016	0.0481221529319683	0.00236558563046045	0.00209090056159445
Visa_status_tend6	0.0326419544067876	0.00167209232314954	0.000522725140398611
rf_017_021	0.0136279023932174	0.000679416763180045	0.000241257757107051
mcuentas_saldo_rank	0.0124461398789182	0.00458450594587931	0.00178262676084655
rf_008_022	0.0095532470652373	0.000653257800218815	0.00190325563940007
mprestamos_personales_rank	0.0088506504613965	0.00213587824561652	0.000643354018952137
cdescubierto_preacordado	0.00853848847810741	0.0021164302875894	0.00166199788229302
ctrx_quarter_delta2	0.00757908546753111	0.00216613563265512	0.00226514227506065
cdescubierto_preacordado_delta2	0.00643661775878282	0.00243946012654795	0.000549531557854951
rf_010_020	0.00641914376874094	0.000795137587389053	0.000482515514214103
rf_007_015	0.00574926811316239	0.000808690569906826	0.00191665884812824
rf_004_025	0.00530971713129191	0.000308383602183685	0.000174241713466204
mcomisiones_mantenimiento_rank_tend6	0.0051915134026706	0.00266040433355261	0.00182283638703106
rf_001_022	0.00456163233098635	0.00108676414742552	0.00316315725984801
foto_mes	0.00447853877738785	0.00375376463353575	0.00253320644962404
mrentabilidad_annual_rank_delta1	0.0042618226254113	0.00275666747639517	0.00588400863166642
vm_status04_delta1	0.00416411037085505	0.000598314463018181	9.38224610971867e-05
vm_status04_delta2	0.00396051852354311	0.000672573652425252	0.000174241713466204
mpayroll_sobre_edad_rank	0.003877017371091	0.00119823356945545	0.000241257757107051
thomebanking	0.00382551533164355	0.00152252287328723	0.00418180112318889
mprestamos_personales_rank_delta2	0.00377978576011374	0.002286976270217	0.000683563645136646
rf_003_019	0.00367329079460433	0.000375172342680275	0.000134032087281695
mcuenta_corriente_rank_tend6	0.00365480863346432	0.00300884326861971	0.00253320644962404
mcuentas_saldo_rank_delta2	0.00363140757943858	0.00306787834053269	0.00482515514214103
mprestamos_personales_rank_tend6	0.00362068829963572	0.00135892359518748	0.000509321931670442
mrentabilidad_annual_rank_lag2	0.00353008342768851	0.00276163423853852	0.00447667171520862
rf_012_028	0.00328966778094526	0.000733570791862104	0.00028146738329156
mcomisiones_rank_delta2	0.00326273126210435	0.00223109068294999	0.00526746103017062
mprestamos_personales_rank_lag2	0.00324746446221573	0.00234684078683868	0.000898014984787358
mpasivos_margen_rank	0.00322337233467591	0.00248245377215534	0.00194346526558458
mactivos_margen_rank_delta2	0.00314434345303677	0.00340086129667221	0.00631291131096785
rf_010_015	0.0031330113933268	0.000906323497314596	0.00138053049900146
rf_014_030	0.00312313040117955	0.000450362413888579	0.00028146738329156
rf_003_018	0.00311591414440427	0.00121031039553801	0.00280127062418743
mrentabilidad_annual_rank_delta2	0.0029980804063294	0.0033320054327224	0.0064201369807932
cdescubierto_preacordado_delta1	0.00299419027791081	0.00171444601950324	0.000361886635660577
mrentabilidad_annual_rank_lag1	0.00284426940685821	0.00235867906212273	0.00365907598279028
mcaja_ahorro_rank	0.00280094091855091	0.00176299786947277	0.000763982897505663
mcomisiones_otras_rank_lag2	0.00275536004005197	0.00235016518193069	0.0047045262635875
mactivos_margen_rank	0.00270793237511088	0.00301424820244889	0.00261362570199306
Visa_mpagospesos_rank_tend6	0.00269432013643683	0.00286343617561849	0.00503960648179174
rf_016_022	0.00266900206822177	0.000278536094106732	0.000120628878553526
mpasivos_margen_rank_lag1	0.00265646757217553	0.00155549888406741	0.00197027168304092
mcomisiones_rank_lag2	0.00258474423962498	0.0019530591789785	0.00444986529775228
mcuentas_saldo_rank_tend6	0.00257472962698923	0.00351171295767015	0.00276106099800292
mcomisiones_otras_rank_delta2	0.00256121585912663	0.00257169136369218	0.00570976691820022
tcallcenter	0.00255610174789887	0.00141008641764183	0.00113927274189441
thomebanking_lag2	0.00255179402123807	0.00215233518018548	0.00640673377206503
Visa_delinquency	0.00253222580534314	0.000728783728726644	0.000536128349126781
mcomisiones_otras_rank_tend6	0.00252459550363152	0.00217697792362918	0.00323017330348886
rf_014_025	0.00247595937878285	0.00119477633746461	0.0026404321194494
vm_msaldopesos_rank_delta2	0.00238270273798192	0.000908234279706642	0.00108565990698173
mcomisiones_rank_tend6	0.00238022875994343	0.00188399228932232	0.00309614121620716
Master_mfinanciacion_limite_rank_delta2	0.00236415413430836	0.00288294532488631	0.00599123430149178
mrentabilidad_rank_delta2	0.00233720588408404	0.00235701538414348	0.00521384819525795
mactivos_margen_rank_delta1	0.00233663650743085	0.00270075253634067	0.00462410701121849
Visa_cconsumos_tend6	0.00230487395971243	0.00192056666672911	0.0037394952351593
Visa_mconsumototal_rank_delta2	0.00228785552322054	0.00147306540026636	0.00317656046857618
rf_009_026	0.00225854858707344	0.000359424919450439	0.000174241713466204
Master_mfinanciacion_limite_rank_tend6	0.00224257647420405	0.00298944425627435	0.00509321931670442
Master_fechaalta	0.00223030125231357	0.00269109557891599	0.00430243000174242
Master_fechaalta_lag1	0.00220914484348264	0.00301097428830275	0.00457049417630581
Master_mlimitecompra_rank_tend6	0.00220643236284926	0.00303864216000007	0.00529426744762696
mcuenta_corriente_rank	0.00220592970329672	0.00225374558836523	0.00184964280448739
Master_Fvencimiento_lag2	0.00218371251362371	0.00205864846638541	0.00443646208902411
rf_013_026	0.00217196743148912	0.000747149471776653	0.00056293476658312
Visa_mlimitecompra_rank_tend6	0.00214812887372422	0.00324674596635427	0.00434263962792693
vm_Finiciomora	0.00214452485207518	0.00167306988429029	0.000388693053116916
Master_mlimitecompra_rank_delta2	0.00211875613117539	0.0025042854104722	0.00565615408328754
Visa_msaldopesos_rank	0.00211652203708541	0.00144111048633043	0.00184964280448739
rf_017_022	0.00207657198591159	0.000190581837144528	0.000120628878553526
rf_013_021	0.0020740065354934	0.000803822722636413	0.000871208567331019
mrentabilidad_rank_lag2	0.00206919355995794	0.0023829332740866	0.00410138187081987
thomebanking_lag1	0.00203193461506811	0.0015541549431146	0.0045302845501213
Master_Fvencimiento	0.00202732970760973	0.00214251087897355	0.00443646208902411
mprestamos_personales_rank_delta1	0.00202664457309695	0.00342099050986817	0.000938224610971867
mpasivos_margen_rank_delta1	0.00201957576658345	0.00275206175719342	0.00386012411371282
mrentabilidad_rank_delta1	0.00201718717587226	0.00257351693892649	0.00463751021994666
Visa_mlimitecompra_rank_delta2	0.00200764488005936	0.00213391471593636	0.00482515514214103
mrentabilidad_rank_tend6	0.00199306253914068	0.00256574627277603	0.00256001286708038
Master_mfinanciacion_limite_rank_delta1	0.00198753279214936	0.00232756284103403	0.005455105952365
internet	0.00196911123555842	0.000893743945346058	0.000174241713466204
mpasivos_margen_rank_delta2	0.00196903068862587	0.00317132235223275	0.00469112305485933
mprestamos_personales_rank_lag1	0.00194102596854923	0.00204254259554139	0.000750579688777493
Master_fechaalta_lag2	0.00191275536890119	0.00262102817226532	0.00380651127880014
Visa_mfinanciacion_limite_rank_delta2	0.00191160363913703	0.00309355431671784	0.00474473588977201
Visa_mpagospesos_rank_delta2	0.00190348794838068	0.00199462078871668	0.00436944604538327
Visa_mconsumototal_rank_tend6	0.00188634581389655	0.00218336751005711	0.00457049417630581
vm_fechaalta	0.00185757161575518	0.00196010498114883	0.00308273800747899
Master_Fvencimiento_lag1	0.00185463691529097	0.00201811687264484	0.00416839791446072
Visa_mfinanciacion_limite_rank_tend6	0.0018535773966901	0.00259258016708014	0.00400755940972269
chomebanking_transacciones_lag2	0.00185204523371763	0.00217351301531782	0.00400755940972269
cliente_edad_lag2	0.00184548635041546	0.0026872467083632	0.00265383532817757
Visa_mlimitecompra_rank_delta1	0.0018310659124471	0.00295843097098838	0.00465091342867483
Master_mfinanciacion_limite_rank	0.00182944315531771	0.00221836440359788	0.0036054631478776
Visa_fechaalta_lag1	0.00180981076165505	0.00184170088082652	0.00308273800747899
mcomisiones_otras_rank_lag1	0.00180330086324817	0.00146419065990225	0.00335080218204238
rf_010_019	0.00178899879770637	0.000716940847650286	0.00186304601321556
mrentabilidad_rank_lag1	0.00177862432631555	0.00220803076024276	0.00348483426932408
mcomisiones_otras_rank	0.00177545814059712	0.00165288551124834	0.00355185031296492
Visa_Fvencimiento	0.00177193863815118	0.00206861858113323	0.00351164068678042
cproductos_delta2	0.00176595245283878	0.000732417040888559	0.000134032087281695
Master_mlimitecompra_rank_delta1	0.0017622099718197	0.00211308575129451	0.00473133268104384
vm_fechaalta_tend6	0.00175928659727026	0.000637851827036309	0.000938224610971867
chomebanking_transacciones_delta2	0.00175499619362554	0.00291538549194056	0.00347143106059591
mcomisiones_otras_rank_delta1	0.00174773257171239	0.00226509371230738	0.00372609202643113
mcomisiones_rank_delta1	0.00173993063068695	0.00197788739694744	0.00369928560897479
cliente_vip_delta1	0.00173728167148228	0.00118768330764616	0.000629950810223968
mcomisiones_rank_lag1	0.00171361041402079	0.00153340859030307	0.00341781822568323
ctrx_quarter_normalizado_delta2	0.00171142738618475	0.00219776408364568	0.00210430377032262
Visa_Fvencimiento_lag2	0.00170806305980297	0.00161045848775675	0.00324357651221703
mrentabilidad_annual_rank	0.00168587272734155	0.00264964805392224	0.00304252838129448
rf_006_019	0.00168088512329578	0.00138224294097423	0.00359205993914943
numero_de_cliente	0.00165991400493242	0.00271875701712563	0.00293530271146913
chomebanking_transacciones_lag1	0.00165880411542453	0.00168225186024457	0.00331059255585787
mcuenta_corriente_rank_lag2	0.00165483698413015	0.00213682009358992	0.00201048130922543
Master_Fvencimiento_tend6	0.00165163219556451	0.00108329101448504	0.00150115937755499
Visa_Fvencimiento_lag1	0.00163660709796679	0.00198646473472241	0.00357865673042126
rf_012_027	0.00162819229405889	0.00132875737359348	0.00348483426932408
Master_mlimitecompra_rank	0.00161237651251851	0.00164365371231852	0.00371268881770296
mrentabilidad_annual_rank_tend6	0.00159316168663982	0.00234646760799988	0.00310954442493533
Visa_mpagospesos_rank_delta1	0.00159313884345581	0.00217200304651843	0.00423541395810157
chomebanking_transacciones	0.00158734831710374	0.00207197251178228	0.00251980324089587
mcomisiones_rank	0.00158401981227143	0.00163483000120889	0.00345802785186774
Visa_mconsumototal_rank	0.00158295999698211	0.00141001506441494	0.00301572196383814
Master_mfinanciacion_limite_rank_lag2	0.00158241271738559	0.00161419787935742	0.00363226956533394
vm_Fvencimiento	0.00157746420495978	0.00207634783170682	0.00304252838129448
mcuentas_saldo_rank_delta1	0.00155568511701702	0.00204608295111725	0.00218472302269163
Master_mlimitecompra_rank_lag1	0.00155359579214692	0.00155454365736397	0.00353844710423675
mactivos_margen_rank_lag1	0.00155224574031477	0.00180477302713692	0.00229194869251699
vm_fechaalta_lag1	0.00154437885129158	0.0015705670260394	0.00278786741545926
Master_fultimo_cierre_tend6	0.00154394844453351	0.00189902044131981	0.00308273800747899
Visa_mpagospesos_rank_lag2	0.0015375271009209	0.00139891930864822	0.00317656046857618
chomebanking_transacciones_delta1	0.00152809482076383	0.00269371642095576	0.00305593159002265
Visa_mconsumospesos_rank_tend6	0.00151985783150831	0.00152956608013014	0.00344462464313957
mttarjeta_visa_debitos_automaticos_rank_tend6	0.00151815012764767	0.00169683061850671	0.0010990631157099
Visa_msaldototal_rank_tend6	0.00150982613975871	0.00190597661330963	0.00270744816309024
Visa_fechaalta	0.00150797002197782	0.00197932009078697	0.0029487059201973
Visa_mpagospesos_rank	0.00150648250845287	0.00119845029757135	0.00242598077979868
Master_mlimitecompra_rank_lag2	0.00150088602324428	0.00181251565644055	0.00356525352169309
Visa_msaldototal_rank	0.00150002730027603	0.000938103464250575	0.00180943317830289
vm_mpagominimo_rank	0.00149904903691417	0.0012730800339359	0.00119288557680709
rf_011_021	0.00149778923155664	0.00122118394010274	0.0029487059201973
Visa_mpagominimo_rank_lag2	0.001497580382148	0.00154251365683655	0.00243938398852685
vm_Fvencimiento_lag1	0.00148985857898228	0.0017347058398097	0.00276106099800292
ctarjeta_visa_transacciones_tend6	0.00148876375012769	0.00199624363598157	0.00121969199426343
vm_status01	0.00148429821596962	0.00116308022519179	0.000442305888029594
mcuentas_saldo_rank_lag2	0.00147885836114386	0.00229034321405701	0.00269404495436207
mcuenta_corriente_rank_lag1	0.00147748298266049	0.00214914047835628	0.00170220750847753
Visa_mfinanciacion_limite_rank_delta1	0.00146721154427811	0.00243742882592381	0.00384672090498465
Visa_fultimo_cierre_tend6	0.00145230532330245	0.00147179975778282	0.00211770697905079
rf_013_024	0.00144755546037268	0.00096694446049226	0.00245278719725502
Visa_fechaalta_lag2	0.00143980777979896	0.00161407885983551	0.00292189950274096
mrentabilidad_rank	0.00143374330039934	0.00192391902556014	0.00270744816309024
Master_mfinanciacion_limite_rank_lag1	0.001433350554612	0.00168736666571215	0.00324357651221703
vm_msaldopesos_rank	0.00142187744257136	0.000569045383969058	0.000723773271321154
Visa_mpagominimo_rank	0.00142150358502441	0.00175927701070307	0.00239917436234235
Visa_mlimitecompra_rank	0.00141631035541263	0.00141632931324009	0.00296210912892546
Visa_mconsumospesos_rank_lag1	0.00139707324314804	0.00136098168982561	0.00314975405111984
rf_004_022	0.00138455350401923	0.000917815351219933	0.00256001286708038
Visa_mconsumospesos_rank_delta2	0.00138029820929851	0.0012847241348648	0.00318996367730435
vm_Fvencimiento_lag2	0.00137922582731831	0.00174249478291378	0.00289509308528462
Visa_mconsumospesos_rank_lag2	0.00137603740504195	0.00118770012244348	0.00331059255585787
Visa_mlimitecompra_rank_lag1	0.00136395185752121	0.00143697971204517	0.00273425458054658
