pos	campo	tipo	nulos	ceros
1	numero_de_cliente	integer	0	0
2	foto_mes	integer	0	0
3	active_quarter	integer	153386	67807
4	internet	integer	0	2290390
5	cliente_edad	integer	0	87
6	cliente_antiguedad	integer	0	0
7	cproductos	integer	0	0
8	ccaja_ahorro	integer	0	0
9	cdescubierto_preacordado	integer	0	186934
10	ctarjeta_debito	integer	0	2524
11	ctarjeta_debito_transacciones	integer	153386	1549971
12	ctarjeta_visa_transacciones	integer	153386	714248
13	ctarjeta_master_transacciones	integer	153386	3005593
14	cprestamos_personales	integer	0	3628619
15	cprestamos_prendarios	integer	0	4835015
16	cinversion2	integer	0	4720249
17	cseguro_vida	integer	0	4177672
18	ccaja_seguridad	integer	0	4551003
19	cpayroll_trx	integer	0	2373332
20	ccuenta_debitos_automaticos	integer	0	2554449
21	ctarjeta_visa_debitos_automaticos	integer	254742	1660514
22	cpagomiscuentas	integer	0	2605587
23	ccomisiones_mantenimiento	integer	0	3337052
24	ccomisiones_otras	integer	417584	128707
25	cforex	integer	0	4124316
26	ctransferencias_recibidas	integer	632040	1279745
27	ctransferencias_emitidas	integer	0	2373892
28	ccheques_emitidos	integer	153386	4589856
29	tcallcenter	integer	153386	4142817
30	ccallcenter_transacciones	integer	153386	4142817
31	thomebanking	integer	153386	1158865
32	chomebanking_transacciones	integer	289901	1075702
33	ccajas_consultas	integer	153386	4403237
34	ctrx_quarter	integer	153386	44027
35	cmobile_app_trx	integer	914607	1372849
36	Master_delinquency	integer	541263	4329145
37	Master_status	integer	541263	4333111
38	Master_Fvencimiento	integer	541263	0
39	Master_fultimo_cierre	integer	544124	303016
40	Master_fechaalta	integer	541263	0
41	Master_cconsumos	integer	2935087	570686
42	Visa_Fvencimiento	integer	205561	0
43	Visa_fultimo_cierre	integer	207447	307187
44	Visa_fechaalta	integer	205561	0
45	Visa_cconsumos	integer	661099	367315
46	clase_ternaria	character	0	0
47	ctrx_quarter_normalizado	integer	153386	44027
48	vm_status01	integer	176316	4688197
49	vm_status02	integer	570508	4301548
50	vm_Fvencimiento	integer	176316	0
51	vm_fultimo_cierre	integer	178108	275854
52	vm_fechaalta	integer	176316	0
53	vm_cconsumos	integer	0	931516
54	vmr_Master_mlimitecompra	numeric	541263	0
55	vmr_Visa_mlimitecompra	numeric	205561	0
56	vmr_msaldototal	numeric	0	598064
57	vmr_msaldopesos	numeric	0	601773
58	vmr_msaldopesos2	numeric	17	601773
59	vmr_msaldodolares	numeric	0	4009618
60	vmr_mconsumospesos	numeric	0	931678
61	vmr_mconsumosdolares	numeric	0	3054873
62	vmr_mpagado	numeric	0	4000289
