fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20230829 191035	-0.949120880379633	4447	1917	9	5	49995000	1
20230829 191044	-0.448915289968136	4675	2280	12	5	50031000	2
20230829 191050	0.046333909482928	2689	586	10	5	0	3
20230829 191059	-0.556337399664335	6548	1651	20	5	50445000	4
20230829 191105	-0.602332405421475	2030	111	5	5	52167000	5
20230829 191111	-0.238264978677034	7312	2697	7	5	50874000	6
20230829 191120	-0.881595923259738	6322	1404	11	5	50604000	7
20230829 191130	-0.0852815073827514	7665	410	13	5	50430000	8
20230829 191142	-0.055932583825779	5661	44	16	5	51333000	9
20230829 191150	-0.639730331828468	7646	2466	17	5	50838000	10
20230829 191155	-0.769359180692118	3852	928	3	5	50136000	11
20230829 191204	-0.371069412460201	4336	1902	19	5	49998000	12
20230829 191210	-0.446803207841003	2801	474	6	5	50649000	13
20230829 191218	-0.791663575120037	7587	3226	19	5	50763000	14
20230829 191228	-0.898113499942701	6816	959	18	5	50604000	15
20230829 191238	-0.483915410353802	7523	764	15	5	50604000	16
20230829 191252	-0.15376484274493	7027	1	20	5	50337000	17
20230829 191305	-0.341460143658114	5677	4	14	5	50616000	18
20230829 191320	-0.574682290739557	3584	40	20	5	51102000	19
20230829 191327	-0.51932345847782	7157	2712	6	5	50874000	20
20230829 191336	-0.13239251906357	8000	2507	16	5	50838000	21
20230829 191349	-0.688975206291498	1521	758	20	5	51141000	22
20230829 191354	-0.682520626407366	7010	4	3	5	49767000	23
20230829 191403	-0.0904513154145427	5379	2687	20	5	50022000	24
20230829 191419	-0.834169961956722	300	149	20	5	47439000	25
20230829 191429	-0.52478639291994	30	15	9	5	52437000	26
20230829 191447	-0.270963477761581	36	13	19	5	38247000	27
20230829 191452	-0.344632787679296	7999	3537	3	5	49767000	28
20230829 191500	-0.393335503711013	7813	8	6	5	50844000	29
20230829 191505	-0.538129907196411	4158	4	3	5	50136000	30
20230829 191520	-0.0658977966297465	7704	10	20	5	50370000	31
