fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20230829 194720	0.0549266344038188	4652	1352	10	5	0	1
20230829 194731	-0.0788060798964579	5134	1580	18	5	51660000	2
20230829 194741	-0.491956730865058	5677	683	13	5	51660000	3
20230829 194751	-0.270564065632061	3215	480	11	5	51063000	4
20230829 194756	-0.598247543926118	7776	2312	4	5	51426000	5
20230829 194806	-0.904639996278274	4181	1936	12	5	52611000	6
20230829 194814	-0.328621806218871	7099	3481	20	5	50496000	7
20230829 194818	-0.813512803337653	2956	240	3	5	50622000	8
20230829 194827	-0.207705721266393	6989	961	9	5	51660000	9
20230829 194836	-0.415087053316113	6859	1869	17	5	51660000	10
20230829 194847	-0.174613957868756	6663	522	20	5	51660000	11
20230829 194855	-0.680840041252252	5226	911	8	5	51660000	12
20230829 194906	-0.686141065182164	1213	268	13	5	52065000	13
20230829 194911	-0.824665697372984	7471	3345	3	5	50799000	14
20230829 194918	-0.784903013985604	4326	184	6	5	50565000	15
20230829 194924	-0.128017677995376	3162	906	5	5	51936000	16
20230829 194934	-0.130534726064996	5312	2652	20	5	51732000	17
20230829 194946	-0.590978769388806	2935	1456	17	5	52293000	18
20230829 194951	-0.347794059990937	6419	236	3	5	50622000	19
20230829 195002	-0.106280571808168	7997	1171	20	5	51660000	20
20230829 195013	-0.866506051122991	7150	799	20	5	51660000	21
20230829 195027	-0.113286189092864	4238	165	20	5	50019000	22
20230829 195042	-0.604697290211054	6698	2	20	5	51582000	23
20230829 195048	0.0997200885554207	7995	32	12	5	0	24
20230829 195059	-0.820017295781188	4269	2134	20	5	52473000	25
20230829 195109	-0.638843932452968	6004	3001	20	5	50430000	26
20230829 195118	-0.375953314029975	3710	1852	8	5	52500000	27
20230829 195124	-0.548468647124504	1254	2	3	5	50535000	28
20230829 195137	-0.429470168280293	1686	533	20	5	51573000	29
20230829 195151	-0.87897383156469	1067	530	20	5	50619000	30
20230829 195156	-0.142757959136878	5883	1530	3	5	50622000	31
20230829 195202	-0.196075771456719	1712	856	3	5	51087000	32
20230829 195213	-0.360029305297969	4847	927	20	5	51777000	33
20230829 195223	-0.734726600270989	7999	1730	17	5	51660000	34
20230829 195233	-0.945166622505508	6899	3449	20	5	50304000	35
20230829 195245	-0.734465898412627	2706	1343	20	5	52620000	36
20230829 195251	-0.458687695025561	3132	1558	3	5	50622000	37
20230829 195305	-0.987140379969927	3937	126	20	5	51300000	38
20230829 195312	-0.999360230147291	7993	3994	5	5	49704000	39
20230829 195318	0.0965259997005784	8	3	4	5	0	40
20230829 195324	-0.957198178446756	6347	546	3	5	50622000	41
20230829 195335	-0.170412978487237	3326	1646	13	5	52644000	42
20230829 195342	-0.999331415426717	2492	1246	5	5	52188000	43
20230829 195358	-0.653648152743188	2945	2	20	5	51543000	44
20230829 195408	-0.541254454009738	7998	1534	18	5	51660000	45
20230829 195419	-0.292716162691128	8000	1286	17	5	51660000	46
20230829 195430	-0.999934579181845	4755	2374	11	5	51414000	47
20230829 195441	-0.114040748751143	5688	1575	17	5	51660000	48
20230829 195447	-0.222441064626248	3915	1955	3	5	50622000	49
20230829 195458	-0.370066600078072	42	21	9	5	50610000	50
20230829 195509	-0.951956011343972	2746	1364	14	5	52683000	51
20230829 195520	-0.399781230273487	3345	2	11	5	52923000	52
20230829 195529	-0.633209439554839	2398	1194	6	5	51705000	53
20230829 195540	-0.845100947206904	3028	1514	13	5	52317000	54
20230829 195550	-0.568296527949475	4502	498	11	5	51486000	55
20230829 195602	-0.382302997213728	2428	1141	13	5	51531000	56
20230829 195621	-0.594509391122943	13	6	20	5	28062000	57
20230829 195633	-0.691754961809681	3056	475	14	5	51624000	58
20230829 195644	-0.526080014535862	3767	1872	18	5	52488000	59
20230829 195650	-0.743007154932163	1241	603	3	5	51159000	60
20230829 195701	-0.664347998595581	3149	1574	18	5	52578000	61
20230829 195710	-0.657735705985782	7999	5	9	5	51603000	62
20230829 195726	-0.787290378843978	1741	4	18	5	53010000	63
20230829 195732	-0.418488374779859	1542	4	3	5	50535000	64
20230829 195739	-0.549379021295783	3032	1515	4	5	51426000	65
20230829 195750	-0.444641604034624	3656	1669	20	5	52659000	66
20230829 195800	-0.484693623204477	2689	8	10	5	54276000	67
20230829 195808	-0.369836740848516	7984	3977	5	5	49704000	68
20230829 195816	-0.929004019985355	1447	1	7	5	53115000	69
20230829 195828	-0.999995450503516	74	20	11	5	49437000	70
20230829 195839	-0.78693405007517	6173	1292	20	5	51660000	71
20230829 195848	-0.0861168076310413	7984	3975	20	5	49704000	72
20230829 195857	-0.895877395330855	8000	1893	9	5	51660000	73
20230829 195906	-0.450561141455213	7994	5	9	5	51603000	74
20230829 195920	-0.999822862708525	7999	15	19	5	50973000	75
20230829 195935	-0.374337007799311	7997	6	20	5	51306000	76
20230829 195954	-0.213588720995629	11	1	20	5	30339000	77
20230829 200002	-0.17450875527683	4118	707	6	5	51639000	78
20230829 200011	-0.335657958973987	3088	15	8	5	53721000	79
20230829 200027	-0.462342694867273	3235	2	18	5	52704000	80
20230829 200037	-0.484174185370746	1841	914	9	5	52155000	81
20230829 200048	-0.177329566572963	7999	2185	20	5	51660000	82
20230829 200057	-0.675479805546708	1943	1	7	5	52947000	83
20230829 200107	-0.807538653723561	1483	739	10	5	51510000	84
20230829 200114	-0.829198126601674	8000	3	4	5	50988000	85
20230829 200123	-0.314739028314626	4923	2445	9	5	51378000	86
20230829 200137	-0.845232251493086	4960	2	17	5	51870000	87
20230829 200147	-0.618561716576431	6991	1536	13	5	51660000	88
20230829 200153	-0.523448418874894	7335	1	3	5	50550000	89
20230829 200201	-0.486857597497933	7996	3997	10	5	49704000	90
20230829 200213	-0.908152547589925	2652	4	12	5	53601000	91
20230829 200222	-0.838429829537199	7999	3991	20	5	49704000	92
20230829 200231	-0.51131243800612	2925	3	8	5	52458000	93
20230829 200240	-0.968498348594069	2958	2	7	5	52266000	94
20230829 200250	-0.587297286088907	4889	2195	20	5	51549000	95
20230829 200256	-0.719450841784481	7997	1927	3	5	50622000	96
20230829 200307	-0.0943513191609819	3685	1838	20	5	52500000	97
20230829 200313	-0.874795253854678	5279	2639	3	5	50622000	98
20230829 200319	-0.637723096028366	5739	5	3	5	50550000	99
20230829 200328	-0.346999311658197	7857	1772	10	5	51660000	100
20230829 200343	-0.685904156503185	7440	3	20	5	51327000	101
20230829 200349	-0.159764438407492	2937	1464	3	5	50622000	102
20230829 200355	-0.138462714012941	7993	8	3	5	50550000	103
20230829 200405	-0.354798961003052	1665	5	9	5	54456000	104
20230829 200422	-0.926089381809912	2338	2	20	5	52947000	105
20230829 200432	-0.754509550258092	5701	2846	11	5	50724000	106
20230829 200440	-0.330237026961119	1254	284	6	5	53703000	107
20230829 200450	-0.999887278020752	7995	2124	20	5	51660000	108
20230829 200456	-0.184406936385037	7996	3998	3	5	50916000	109
20230829 200502	-0.477507801673682	7996	2168	3	5	50622000	110
20230829 200513	-0.450626922752095	2437	83	11	5	51792000	111
20230829 200527	-0.484526630000628	7874	148	20	5	51138000	112
20230829 200537	-0.482331196239007	3763	1	10	5	52701000	113
20230829 200549	-0.485907889843042	2887	1432	18	5	52137000	114
20230829 200558	-0.258632300678474	7993	3904	11	5	49947000	115
20230829 200613	-0.398234559881411	3138	159	20	5	52350000	116
