fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230902 233818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	305	TRUE	150523	0.0942222793980036	0.909192410744727	6407	291	11613	66330000	1
20230902 233834	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	150523	0.160259287974681	0.752449568053708	2246	468	10206	65865000	2
20230902 233856	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	150523	0.172338188763242	0.5499514915701	5677	503	9763	65400000	3
20230902 233912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	150523	0.228818266781862	0.232108120722696	5185	849	7894	60570000	4
20230902 234010	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	376	TRUE	150523	0.0209138901097467	0.941392414281145	3485	561	5866	57525000	5
20230902 234027	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	150523	0.199797090510023	0.592753300648183	1950	171	12897	67035000	6
20230902 234038	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	150523	0.251874773049145	0.639308712324128	953	41	6421	56820000	7
20230902 234049	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	150523	0.270667458323296	0.990303414389491	4066	794	8026	61605000	8
20230902 234129	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	250	TRUE	150523	0.0577395134300459	0.25454883242026	1540	574	8860	64980000	9
20230902 234230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	328	TRUE	150523	0.0332592968440149	0.774676443915814	2585	389	14332	67530000	10
20230902 234249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	150523	0.277655670740525	0.445235979063436	5448	332	12357	63855000	11
20230902 234308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	150523	0.114503657514229	0.640374738872051	3095	939	13668	67005000	12
20230902 234413	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	500	TRUE	150523	0.0491167531704996	0.438580494262278	6158	666	10519	65415000	13
20230902 234430	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	150523	0.145245512081659	0.82137166053988	7600	678	7496	59595000	14
20230902 234455	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	171	TRUE	150523	0.105102699444746	0.291835324540734	4684	120	13022	66540000	15
20230902 234522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	173	TRUE	150523	0.0778474648072151	0.383747743945569	7970	95	6904	59460000	16
20230902 234543	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	150523	0.286321309642866	0.496558861872181	1	753	14777	58875000	17
20230902 234613	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	150523	0.195813731877948	0.697464785343036	483	1002	5446	52785000	18
20230902 234633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	150523	0.21337325190648	0.343701777290553	6881	909	11381	64980000	19
20230902 234647	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	150523	0.133243963828543	0.840751267299056	3861	257	9127	63345000	20
20230902 234714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	150523	0.0663887420470476	0.838184084438088	2244	420	13213	66690000	21
20230902 234732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	107	TRUE	150523	0.119324121430218	0.760482978076491	3616	218	13905	65325000	22
20230902 234958	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	814	TRUE	150523	0.010310135883808	0.569899037027837	3037	801	14167	67305000	23
20230902 235021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	150523	0.134701068876909	0.401424456708765	1856	484	12153	65790000	24
20230902 235102	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	320	TRUE	150523	0.0366285551496727	0.999745590050541	4569	946	14296	66435000	25
20230902 235511	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1937	TRUE	150523	0.0100658764807701	0.300670728166855	2080	364	14281	67440000	26
20230902 235746	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1109	TRUE	150523	0.0102168092457111	0.587274806762405	5115	454	14273	66390000	27
20230903 000133	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	627	TRUE	150523	0.0100214703435041	0.700495115734874	20	458	14345	66045000	28
20230903 000211	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	249	TRUE	150523	0.0487272510339406	0.231724261751113	2728	891	13724	66960000	29
20230903 000401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	605	TRUE	150523	0.0264764934538383	0.373167536897978	2405	129	11836	67695000	30
20230903 000534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	615	TRUE	150523	0.0176814653777083	0.53614804516047	2141	19	14797	67455000	31
20230903 000720	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	504	TRUE	150523	0.0210583809549446	0.56674813600177	2484	284	12971	68490000	32
20230903 000813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	372	TRUE	150523	0.0341144434540047	0.66088877550372	2591	1024	11966	68145000	33
20230903 000833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	150523	0.189106291419554	0.626577634535679	6759	16	12266	65925000	34
20230903 001022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	684	TRUE	150523	0.0100511681778327	0.669013338969566	2511	323	12281	68040000	35
20230903 001033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	150523	0.190014073148753	0.950959396061445	4442	1024	12344	64860000	36
