fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230912 221033	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1315	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.210039854042882	0.648113759392765	415	34490	10548	67574710.6446777	1
20230912 221252	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	103	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.101462577702877	0.571753134236561	478	41005	13063	64515947.5262369	2
20230912 222424	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2405	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.164713196618912	0.436822560173976	626	26362	13995	66280427.2863568	3
20230912 222541	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	131	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.057736334222522	0.696752096992146	97	33985	14829	63773089.9550225	4
20230912 223025	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	882	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.233969414455499	0.284040624643926	673	16512	12733	68091134.9325337	5
20230912 223219	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	145	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0217664614826031	0.809260890107984	955	11515	13361	64124316.3418291	6
20230912 223645	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	602	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.155260791788866	0.452162932524927	991	20048	11471	69093686.6566717	7
20230912 224103	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1801	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.108843362814379	0.911012986931182	340	48686	13867	67922178.4107946	8
20230912 224329	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	379	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.179112183046605	0.814683904279053	154	5192	12466	68302329.8350825	9
20230912 224505	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	215	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0393694684657616	0.0773835994193013	13	15028	10295	64578328.3358321	10
20230912 224838	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	610	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.13006486897671	0.195112400565181	714	2595	10958	68071547.2263868	11
20230912 225901	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2442	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.229793907786285	0.352576062896742	252	46115	12234	68163187.4062968	12
20230912 230318	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1490	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.274257848924755	0.945928959423495	864	24423	12526	65032674.6626687	13
20230912 230548	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	329	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.256988819292438	0.223512239863466	294	8677	10960	68223808.095952	14
20230912 231105	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2235	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.290106627194252	0.0625461552296999	785	38564	12877	67799044.9775112	15
20230912 231325	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	78	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0778121775388562	0.535183618039752	563	30323	13721	62959878.5607196	16
20230912 231603	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	93	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.181933842389975	0.193838460586164	1024	136	12080	67277361.3193403	17
20230912 231854	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	502	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.150833912098289	0.870829759440854	1024	5331	10911	68216265.3673163	18
20230912 232327	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1340	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.146175982293919	0.999752642131715	154	12149	11806	67482329.8350825	19
20230912 232426	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	136	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.243373015022214	0.023496001420063	179	35311	14178	61334425.7871064	20
20230912 232728	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	551	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.160398930003744	0.70178669542741	888	5374	11290	67113928.035982	21
20230912 233001	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	424	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.160373015880709	0.688514366589147	894	5775	12256	67975448.2758621	22
20230912 233316	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	638	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.159654383822586	0.693784475225555	902	5430	11724	66846530.7346327	23
20230912 233638	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	433	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.262112463610537	0.337188957587078	435	11187	11659	67746778.1109445	24
20230912 233949	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	260	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.14584689496161	0.381119726678821	1024	2615	12577	68906421.2893553	25
