pos	campo	tipo	nulos	ceros
1	numero_de_cliente	integer	0	0
2	foto_mes	integer	0	0
3	active_quarter	integer	0	11292
4	cliente_vip	integer	15599	604590
5	internet	integer	0	470612
6	cliente_edad	integer	0	0
7	cliente_antiguedad	integer	0	0
8	cproductos	integer	0	0
9	tcuentas	integer	0	0
10	ccuenta_corriente	integer	0	0
11	ccaja_ahorro	integer	0	0
12	cdescubierto_preacordado	integer	0	28296
13	ctarjeta_debito	integer	0	396
14	ctarjeta_debito_transacciones	integer	0	198821
15	ctarjeta_visa	integer	0	37080
16	ctarjeta_visa_transacciones	integer	0	101923
17	ctarjeta_master	integer	0	73618
18	ctarjeta_master_transacciones	integer	0	394242
19	cprestamos_personales	integer	0	480171
20	cprestamos_prendarios	integer	0	616438
21	cprestamos_hipotecarios	integer	0	616080
22	cplazo_fijo	integer	0	544672
23	cinversion1	integer	0	598923
24	cinversion2	integer	0	602397
25	cseguro_vida	integer	0	545317
26	cseguro_auto	integer	0	605272
27	cseguro_vivienda	integer	0	542670
28	cseguro_accidentes_personales	integer	0	530877
29	ccaja_seguridad	integer	0	581324
30	cpayroll_trx	integer	0	298458
31	cpayroll2_trx	integer	0	621763
32	ccuenta_debitos_automaticos	integer	0	332566
33	ctarjeta_visa_debitos_automaticos	integer	0	231600
34	ctarjeta_master_debitos_automaticos	integer	0	525809
35	cpagodeservicios	integer	0	615507
36	cpagomiscuentas	integer	0	327880
37	ccajeros_propios_descuentos	integer	14817	587727
38	ctarjeta_visa_descuentos	integer	14817	571547
39	ctarjeta_master_descuentos	integer	14817	583627
40	ccomisiones_mantenimiento	integer	0	423121
41	ccomisiones_otras	integer	14817	19558
42	cforex	integer	0	558655
43	cforex_buy	integer	0	616289
44	cforex_sell	integer	0	563452
45	ctransferencias_recibidas	integer	0	178923
46	ctransferencias_emitidas	integer	0	275167
47	cextraccion_autoservicio	integer	0	311608
48	ccheques_depositados	integer	0	598861
49	ccheques_emitidos	integer	0	606153
50	ccheques_depositados_rechazados	integer	0	621224
51	ccheques_emitidos_rechazados	integer	0	621331
52	tcallcenter	integer	0	557611
53	ccallcenter_transacciones	integer	0	557611
54	thomebanking	integer	0	166479
55	chomebanking_transacciones	integer	14817	117749
56	ccajas_transacciones	integer	0	542566
57	ccajas_consultas	integer	0	589684
58	ccajas_depositos	integer	0	599210
59	ccajas_extracciones	integer	0	572832
60	ccajas_otras	integer	0	606272
61	catm_trx	integer	0	362293
62	catm_trx_other	integer	0	482512
63	ctrx_quarter	integer	0	8339
64	cmobile_app_trx	integer	0	187726
65	Master_delinquency	integer	69038	549984
