pos	campo	tipo	nulos	ceros
1	numero_de_cliente	integer	0	0
2	foto_mes	integer	0	0
3	active_quarter	integer	0	11292
4	internet	integer	0	470612
5	cliente_edad	integer	0	0
6	cliente_antiguedad	integer	0	0
7	mrentabilidad	numeric	14817	1506
8	mrentabilidad_annual	numeric	14817	1246
9	mcomisiones	numeric	14817	19697
10	mactivos_margen	numeric	14817	27544
11	mpasivos_margen	numeric	14817	10309
12	cproductos	integer	0	0
13	tcuentas	integer	0	0
14	mcuenta_corriente	numeric	0	308697
15	ccaja_ahorro	integer	0	0
16	mcaja_ahorro	numeric	0	48567
17	mcaja_ahorro_adicional	numeric	0	607819
18	mcaja_ahorro_dolares	numeric	0	276896
19	cdescubierto_preacordado	integer	0	28296
20	mcuentas_saldo	numeric	0	4518
21	ctarjeta_debito_transacciones	integer	0	198821
22	mautoservicio	numeric	0	198824
23	ctarjeta_visa_transacciones	integer	0	101923
24	mtarjeta_visa_consumo	numeric	0	101923
25	mtarjeta_master_consumo	numeric	0	394242
26	cprestamos_personales	integer	0	480171
27	mprestamos_personales	numeric	0	480171
28	cprestamos_prendarios	integer	0	616438
29	mplazo_fijo_dolares	numeric	0	545573
30	cinversion2	integer	0	602397
31	minversion2	numeric	0	602443
32	cseguro_vida	integer	0	545317
33	ccaja_seguridad	integer	0	581324
34	cpayroll_trx	integer	0	298458
35	mpayroll	numeric	0	301299
36	ccuenta_debitos_automaticos	integer	0	332566
37	mcuenta_debitos_automaticos	numeric	0	332566
38	ctarjeta_visa_debitos_automaticos	integer	0	231600
39	mttarjeta_visa_debitos_automaticos	numeric	0	231600
40	cpagomiscuentas	integer	0	327880
41	mpagomiscuentas	numeric	0	327882
42	mcomisiones_mantenimiento	numeric	0	425283
43	ccomisiones_otras	integer	14817	19558
44	mcomisiones_otras	numeric	14817	19594
45	ctransferencias_recibidas	integer	0	178923
46	mtransferencias_recibidas	numeric	0	178923
47	mtransferencias_emitidas	numeric	0	275167
48	mextraccion_autoservicio	numeric	0	311608
49	ccheques_emitidos	integer	0	606153
50	mcheques_emitidos	numeric	0	606153
51	tcallcenter	integer	0	557611
52	ccallcenter_transacciones	integer	0	557611
53	thomebanking	integer	0	166479
54	chomebanking_transacciones	integer	14817	117749
55	ccajas_transacciones	integer	0	542566
56	ccajas_consultas	integer	0	589684
57	ccajas_otras	integer	0	606272
58	catm_trx	integer	0	362293
59	matm	numeric	0	362293
60	ctrx_quarter	integer	0	8339
61	Master_mfinanciacion_limite	numeric	69038	1212
62	Master_Fvencimiento	integer	69038	0
63	Master_msaldototal	numeric	69038	299952
