clase_ternaria,foto_mes,N
CONTINUA,201901,618
BAJA+2,201901,3
BAJA+1,201901,4
CONTINUA,201902,627
BAJA+1,201902,3
BAJA+2,201902,4
CONTINUA,201903,632
BAJA+2,201903,3
BAJA+1,201903,4
CONTINUA,201904,637
BAJA+1,201904,3
BAJA+2,201904,3
CONTINUA,201905,636
BAJA+2,201905,5
BAJA+1,201905,3
CONTINUA,201906,639
BAJA+1,201906,5
BAJA+2,201906,4
CONTINUA,201907,643
BAJA+1,201907,4
BAJA+2,201907,1
CONTINUA,201908,659
BAJA+2,201908,3
BAJA+1,201908,1
CONTINUA,201909,666
BAJA+2,201909,2
BAJA+1,201909,3
CONTINUA,201910,677
BAJA+2,201910,5
BAJA+1,201910,2
CONTINUA,201911,686
BAJA+1,201911,5
BAJA+2,201911,1
CONTINUA,201912,698
BAJA+2,201912,4
BAJA+1,201912,1
CONTINUA,202001,716
BAJA+1,202001,4
BAJA+2,202001,1
CONTINUA,202002,735
BAJA+1,202002,1
BAJA+2,202002,2
CONTINUA,202003,746
BAJA+2,202003,2
BAJA+1,202003,2
CONTINUA,202004,745
BAJA+2,202004,5
BAJA+1,202004,2
CONTINUA,202005,747
BAJA+1,202005,5
BAJA+2,202005,4
CONTINUA,202006,760
BAJA+2,202006,5
BAJA+1,202006,4
CONTINUA,202007,768
BAJA+2,202007,3
BAJA+1,202007,5
CONTINUA,202008,776
BAJA+1,202008,3
BAJA+2,202008,2
CONTINUA,202009,780
BAJA+2,202009,4
BAJA+1,202009,2
CONTINUA,202010,790
BAJA+1,202010,4
BAJA+2,202010,3
CONTINUA,202011,794
BAJA+2,202011,5
BAJA+1,202011,3
CONTINUA,202012,795
BAJA+1,202012,5
BAJA+2,202012,2
CONTINUA,202101,792
BAJA+1,202101,2
BAJA+2,202101,6
CONTINUA,202102,791
BAJA+2,202102,5
BAJA+1,202102,6
CONTINUA,202103,801
BAJA+2,202103,2
BAJA+1,202103,5
CONTINUA,202104,806
BAJA+1,202104,2
BAJA+2,202104,4
CONTINUA,202105,810
BAJA+2,202105,4
BAJA+1,202105,4
CONTINUA,202106,808
BAJA+2,202106,8
BAJA+1,202106,4
CONTINUA,202107,800
BAJA+2,202107,12
BAJA+1,202107,8
"",202108,812
BAJA+1,202108,12
"",202109,821
