Feature	Gain	Cover	Frequency
rf_018_027	0.0540554849188108	0.00252058310814866	0.00303112607963496
rf_009_015	0.051230996493192	0.000763828751883154	0.00142321690477484
rf_004_022	0.0262110520223356	0.00086971912852183	0.00236297463197349
ctrx_quarter	0.0260664052112128	0.00151646037353285	0.000478027051985442
rf_003_021	0.0189578478376364	0.000989967283767601	0.00122766038350807
ctrx_quarter_normalizado	0.018390039537786	0.00251049887151471	0.000581237438209571
rf_017_021	0.0164814100528249	0.00255814638588202	0.000841979466565267
cdescubierto_preacordado_delta2	0.0142541219839712	0.00168596008074256	0.000363952414579825
mcuentas_saldo_rank	0.0129219710601063	0.00511585036391592	0.001716551686675
ctrx_quarter_lag1	0.0128702213882578	0.000800799048890135	0.000472594926394698
ctarjeta_visa_delta2	0.012407099957348	0.000712300312504258	8.69140094518985e-05
mcaja_ahorro_rank	0.0119752421663267	0.00355225296899144	0.000809386713020805
ctrx_quarter_normalizado_lag1	0.00969078273782688	0.000641061774249913	0.000450866424031724
foto_mes	0.0087649640816654	0.00336206876725856	0.00249334564615134
mpasivos_margen_rank	0.00795617159513864	0.0025617492238822	0.00241186376229018
mcuenta_corriente_rank	0.0073370035490531	0.00285879001459287	0.00202618284534738
rf_013_016	0.00711826241447543	0.000889154886522704	0.0012819816394155
mprestamos_personales_rank	0.00676720376234239	0.00468513970074559	0.00116247487641914
vm_status01_delta1	0.00657136751745812	0.000234604219187848	8.69140094518985e-05
cdescubierto_preacordado	0.00647534824891719	0.00224766522001384	0.00162420555163235
rf_016_022	0.00633193656555603	0.00163465368180371	0.000510619805529904
mtarjeta_visa_consumo_rank	0.00536859524451372	0.000841294133318375	0.000733336954750394
rf_007_015	0.00526918293189791	0.00058138395972275	0.00156445217013417
mpayroll_rank	0.00512806291378913	0.00157723496963414	0.000287902656309414
mcomisiones_mantenimiento_rank_tend6	0.00501414544560535	0.00392672571686798	0.00191210820794177
rf_009_026	0.00483703484271863	0.00133532149194416	0.000798522461839318
ctarjeta_master_delta2	0.00477998489236528	4.62690814962522e-05	3.80248791352056e-05
rf_013_026	0.00431453603274808	0.000662631557282695	0.00112444999728394
mprestamos_personales_rank_delta2	0.0042398363590763	0.00393213433829951	0.000907164973654191
vm_status06_delta2	0.004013496381888	0.000215172461915623	7.06176326796676e-05
mrentabilidad_annual_rank_lag2	0.00380281390390451	0.0020271722254375	0.00466076375685806
thomebanking	0.00365327559728453	0.00141813530202987	0.00453039274268021
mpayroll_sobre_edad_rank	0.00351108715880661	0.00174869416099586	0.000353088163398338
mcomisiones_otras_rank_lag2	0.00335440994988855	0.00156741401731559	0.0045412569938617
mrentabilidad_annual_rank_delta2	0.0032907655416134	0.00254481970415868	0.0068064533652018
mcuentas_saldo_rank_delta2	0.00326961756247858	0.00175666150299057	0.00419903308164485
mrentabilidad_annual_rank_delta1	0.00324616519612794	0.00222407914248223	0.00584496713564018
mv_status07_rank_tend6	0.00321188750448313	0.00168731760071385	0.000494323428757673
ccomisiones_mantenimiento_tend6	0.00311718643755721	0.00441616664016997	0.000657287196479983
mactivos_margen_rank_delta2	0.00297771222741624	0.00322577536243159	0.00556249660492151
mactivos_margen_rank	0.00293813713237342	0.0028496269639156	0.00254223477646803
mcuentas_saldo_rank_tend6	0.0028992112558606	0.00276591880912543	0.00294421207018306
rf_012_027	0.00289157414560736	0.000679190282200927	0.00321581834972025
rf_009_018	0.0028780788557853	0.000535544738334757	0.00034222391221685
rf_003_018	0.00271397874743897	0.00124575452463861	0.00280297680482373
rf_007_020	0.00270221721783247	0.000549673020598412	0.000478027051985442
vm_Finiciomora	0.00266182470331883	0.00257321902195826	0.000401977293715031
mcomisiones_otras_rank_delta2	0.0026540741650984	0.0015659716091564	0.00530718670215655
mprestamos_personales_rank_lag2	0.00264438396240075	0.00138212390693965	0.000717040577978163
mprestamos_personales_rank_tend6	0.00261861836357227	0.00179864063952622	0.000646422945298495
tcallcenter	0.00260752313549251	0.00141644844935019	0.00141235265359335
ctarjeta_visa_transacciones_tend6	0.00257270257367616	0.00214611639773535	0.00144494540713781
thomebanking_lag2	0.00256325861915692	0.00145964344369269	0.00577978162855125
mactivos_margen_rank_delta1	0.00255252033272107	0.00209570350698498	0.00513335868325276
mcomisiones_rank_lag2	0.0024978606536073	0.00141229991196222	0.00371557390406866
mcomisiones_rank_delta2	0.00243848325825407	0.0016103976640746	0.0049649627899397
Visa_mpagospesos_rank_tend6	0.00242837727216395	0.00256780672713042	0.00506817317616383
mrentabilidad_annual_rank	0.00242354730420096	0.00191420386878289	0.00293334781900158
Visa_mpagominimo_rank	0.00239486699402268	0.00166430533678136	0.00227606062252159
rf_010_019	0.00229009107243978	0.000759625404512678	0.00277038405127927
mprestamos_personales_rank_lag1	0.00227255507280218	0.00152826572363181	0.000711608452387419
mrentabilidad_rank_delta2	0.00225777341818075	0.00190853032637425	0.00523113694388614
rf_001_022	0.00225216054276247	0.00065176390523865	0.00324297897767396
Master_mlimitecompra_rank_delta2	0.00225069570679479	0.00179464551189682	0.00549731109783258
mpasivos_margen_rank_delta2	0.00223945529280687	0.00208905804210633	0.00485632027812483
Master_mlimitecompra_rank_tend6	0.0022279839886635	0.00233638752439071	0.00504644467380086
mcuenta_corriente_rank_tend6	0.00220894393047275	0.00393176656222584	0.00241186376229018
ctarjeta_visa_transacciones	0.00220320392471183	0.00153375134090472	0.00054864468466511
vm_mpagominimo_rank	0.00214937628971804	0.00144821434393807	0.00127654951382476
cproductos_delta2	0.00214613791482737	0.0010174489071555	0.000152099516540822
mcomisiones_otras_rank_tend6	0.00214209584743251	0.00142836520155692	0.00317779347058504
Master_mfinanciacion_limite_rank_tend6	0.00214130316337739	0.00149807553420768	0.00461730675213211
mrentabilidad_annual_rank_lag1	0.00212620129087305	0.00179325700446362	0.00360149926666305
Visa_cconsumos_tend6	0.00212541317220865	0.00171523377597361	0.00378619153674833
Master_fechaalta_lag2	0.00212232057033723	0.00211234395587845	0.00420989733282634
Master_fechaalta_lag1	0.00211187249876384	0.00253507065584504	0.0043294040958227
Master_fechaalta	0.00209897174637336	0.00184297136799178	0.00433483622141344
Master_mfinanciacion_limite_rank_delta2	0.00204665902607305	0.00168822878484891	0.00491607365962301
rf_017_016	0.00204536083857712	0.000707563631634542	0.00199359009180292
mcuentas_saldo_rank_delta1	0.0020352399879119	0.00256226629987502	0.00290618719104786
cdescubierto_preacordado_tend6	0.00201300257402283	0.00107355210700459	0.000184692270085284
mrentabilidad_annual_rank_tend6	0.001998233650326	0.00216747243274747	0.00368841327611494
thomebanking_lag1	0.00199707894912251	0.00113970295500561	0.00438372535173013
mcomisiones_otras_rank_lag1	0.00199091113938068	0.0014667045115375	0.00352544950839263
chomebanking_transacciones	0.00198464652972684	0.00231490495724248	0.00340051061980553
Master_mfinanciacion_limite_rank_delta1	0.00196296828196412	0.00140505226468129	0.00497582704112119
ctrx_quarter_delta2	0.00196016372254174	0.00128473060513915	0.002140257482753
mrentabilidad_rank_delta1	0.00195275634465805	0.00127113263764312	0.0043294040958227
mprestamos_personales_rank_delta1	0.00194523388195742	0.00514940698464732	0.00101037535987832
Visa_mfinanciacion_limite_rank_delta2	0.00192339781418336	0.00152722076967882	0.00428594709109675
Visa_mfinanciacion_limite_rank_tend6	0.00191649688407119	0.00207016176417871	0.00405779781628551
mtransferencias_recibidas_rank	0.00190867572494149	0.0021719742344752	0.00170025530990277
Master_Fvencimiento_lag1	0.00189563561357971	0.00141212318886669	0.00409582269542072
rf_006_019	0.00189069043824782	0.000950889402908058	0.00348742462925743
mcomisiones_rank_tend6	0.00188976691479187	0.00123398463554357	0.00308001520995165
Visa_mconsumospesos_rank_tend6	0.00188733753648731	0.00133092440019627	0.00392199467651692
Master_Fvencimiento	0.00188295780149626	0.00160607360380969	0.00400890868596882
mpasivos_margen_rank_delta1	0.00188261529709454	0.00232143080033452	0.004068662067467
vm_status01_tend6	0.00187755790218708	0.000590036844756688	0.00032592753544462
mcomisiones_otras_rank_delta1	0.00186978566211606	0.00161478384474436	0.00411211907219295
Visa_mlimitecompra_rank_tend6	0.00186125440702118	0.00274795601030252	0.00369927752729643
Master_mlimitecompra_rank_delta1	0.00185466547584451	0.00153665237835926	0.00481286327339888
chomebanking_transacciones_lag2	0.00184056211484313	0.00170677107103157	0.0037698951599761
rf_016_015	0.00183601115112117	0.00055720752012351	0.000744201205931881
mcomisiones_rank_lag1	0.00183527334322691	0.00113555539961467	0.00311804008908686
ctrx_quarter_delta1	0.00183426395332095	0.00115399937698333	0.000880004345700473
Master_Fvencimiento_lag2	0.00183410637985265	0.00166010108015437	0.00386224129501874
mrentabilidad_rank_lag2	0.0018227698651265	0.0018174107853906	0.00379705578792982
rf_014_023	0.00180672216096356	0.000653576162576356	0.00134173502091368
Master_mfinanciacion_limite_rank	0.00179896363921251	0.00261061834255751	0.00354174588516486
mcuenta_debitos_automaticos_rank	0.00179754002692351	0.00216293931622549	0.000966918355152371
mcomisiones_rank_delta1	0.00178475870499472	0.00179654014787445	0.00390569829974469
ctrx_quarter_normalizado_delta2	0.00177908687043208	0.00133648417643023	0.00232494975283829
chomebanking_transacciones_delta2	0.00176524984350866	0.00184642727013975	0.00341680699657776
cproductos_tend6	0.00173328351794117	0.00245469034351579	0.000353088163398338
mcomisiones_rank	0.00173293506488713	0.00098556153589772	0.00316692921940355
cliente_edad_lag2	0.00172908088782613	0.0025457977732027	0.00257482753001249
mcuenta_corriente_rank_lag2	0.00172821770214807	0.00203048806571247	0.00204247922211962
mcuentas_saldo_rank_lag1	0.00172799688507526	0.0021571763393464	0.0012819816394155
Visa_mlimitecompra_rank_delta2	0.00172695393125771	0.0018861748002347	0.00403063718833179
Visa_Fvencimiento_lag2	0.00172436613663383	0.00166941466733965	0.00327557173121843
internet_lag1	0.00171594573616746	0.00198761883979283	0.0003856809169428
Visa_mlimitecompra_rank_delta1	0.00171186543156687	0.0022975838389247	0.00412298332337444
Visa_Fvencimiento_lag1	0.00170854804942602	0.00252933848457654	0.00285729806073116
vm_status01	0.00170616404685497	0.000735205611500767	0.000228149274811234
Visa_mfinanciacion_limite_rank_delta1	0.00170000411485484	0.00152652202423506	0.00399261230919659
Visa_Finiciomora	0.00168953424298825	0.00189334665189285	0.00028247053071867
mrentabilidad_rank_lag1	0.00167818462096458	0.00160180820877489	0.00283013743277745
mcomisiones_otras_rank	0.00167103111653908	0.00118703579387951	0.00349828888043892
chomebanking_transacciones_delta1	0.00166885063879987	0.00252552320788507	0.00313976859144983
vm_fechaalta	0.00163755618034772	0.00147952666500788	0.00255853115324026
cprestamos_personales_delta2	0.00161622049066412	0.00191843809450449	0.000168395893313053
Master_fultimo_cierre_tend6	0.00159453705001692	0.00160249957105579	0.00309631158672389
vm_status04_delta2	0.00156880706871971	0.00117284360906824	0.000146667390950079
rf_014_025	0.00156719775006753	0.000789778423530637	0.0029116193166386
rf_010_015	0.00156450949038254	0.000739498975265857	0.00115161062523766
ctrx_quarter_normalizado_delta1	0.00156404116029804	0.00135978031024554	0.00104840023901353
mactivos_margen_rank_lag2	0.00155378360867787	0.00183493303124867	0.00281927318159596
Visa_fechaalta	0.00155240647766198	0.00165875829013856	0.00290618719104786
mpasivos_margen_rank_lag2	0.00155190335238888	0.00231008655239754	0.00327013960562768
mactivos_margen_rank_tend6	0.00155107157569561	0.00200555337892337	0.0025259383996958
mttarjeta_visa_debitos_automaticos_rank_tend6	0.00154118708243474	0.00192353920538392	0.00132000651855071
cliente_edad_lag1	0.00154115016246516	0.0019685496940173	0.00233581400401977
Visa_fechaalta_lag1	0.00153624153371887	0.00111625977622731	0.00259655603237547
vm_Fvencimiento	0.00153478869846449	0.00277016874679954	0.00294421207018306
Visa_Fvencimiento	0.00150303854550343	0.00171036656223914	0.00294964419577381
Visa_mconsumototal_rank_tend6	0.00150202785613455	0.00105852482464313	0.0035580422619371
Visa_mpagospesos_rank_delta2	0.00146827734360004	0.00184697344234093	0.00352544950839263
Master_mfinanciacion_limite_rank_lag2	0.00146605131332903	0.00103209201045583	0.00324297897767396
Visa_mfinanciacion_limite_rank	0.00145944491216105	0.00128528787026976	0.00244445651583465
Master_mlimitecompra_rank_lag2	0.00144848307765723	0.00106998793059126	0.00308001520995165
cliente_vip_delta1	0.00144416260038819	0.000931520493445891	0.000706176326796676
cdescubierto_preacordado_delta1	0.00142714799989899	0.00212694094168852	0.000293334781900158
ccaja_ahorro_delta2	0.0014194602169406	0.00122395128090399	0.000173828018903797
chomebanking_transacciones_lag1	0.00141930401919604	0.00106546496137195	0.00259655603237547
vm_fechaalta_lag2	0.0014192910076642	0.0015523178860511	0.00262914878591993
Master_mlimitecompra_rank	0.00139726490969766	0.000925453897632558	0.00327013960562768
mrentabilidad_rank_tend6	0.00139244985228967	0.00231135580174672	0.00244988864142539
Master_mfinanciacion_limite_rank_lag1	0.00139192616943436	0.00110669341573191	0.00305285458199794
Visa_fechaalta_lag2	0.00138875278330619	0.00137219846286283	0.00274865554891629
mcuenta_corriente_rank_lag1	0.00138811226705752	0.00196010444680027	0.00149926666304525
vm_fechaalta_lag1	0.0013843673506564	0.00110672614896631	0.00237383888315498
mcuentas_saldo_rank_lag2	0.00137903727555345	0.00176871769877587	0.00241729588788093
vm_Fvencimiento_lag2	0.00137117352518075	0.00137426840349582	0.00240643163669944
Visa_mfinanciacion_limite_rank_lag1	0.00136286016859359	0.0010206405793613	0.00260742028355696
mrentabilidad_rank	0.0013477059273532	0.00152509518254734	0.00262371666032919
mcaja_ahorro_rank_delta2	0.00134064254845825	0.00214977593697158	0.00195013308707697
rf_011_021	0.00134058543803926	0.000955307989479878	0.00298766907490901
cliente_antiguedad_lag2	0.00133717042793137	0.00206156201609529	0.00214568960834374
Visa_mconsumototal_rank_delta2	0.00133377106847811	0.000994105055558485	0.0031723613449943
Visa_mpagospesos_rank_delta1	0.00133152766712914	0.00115840523396399	0.00328643598239991
Master_mlimitecompra_rank_lag1	0.00132821588351735	0.00104602425701566	0.00304199033081645
vm_Fvencimiento_lag1	0.00131517999358241	0.00180112909274621	0.00259655603237547
Visa_mlimitecompra_rank	0.00130909949762836	0.000957640668874364	0.00254766690205878
numero_de_cliente	0.00130093683347137	0.00324788771700977	0.0022271714922049
rf_010_010	0.00129805609354595	0.000315908736205398	0.000173828018903797
ctrx_quarter_normalizado_tend6	0.00129766977327397	0.00160960886586596	0.00176544081699169
Visa_delinquency	0.00128669629224461	0.000571148822878192	0.000494323428757673
rf_013_024	0.00128580075057222	0.000684467243289628	0.00272149492096257
mactivos_margen_rank_lag1	0.00128066836424118	0.00162050292271909	0.00203704709652887
Visa_mpagospesos_rank	0.00127229880295437	0.0010695738915463	0.00271606279537183
rf_019_020	0.00126831838562669	0.000695198325005684	0.000776793959476343
Visa_msaldopesos_rank_tend6	0.0012637877338087	0.00152898007191731	0.00228692487370308
mcomisiones_mantenimiento_rank	0.00126175567191929	0.00421910620425588	0.0021022326036178
Visa_mconsumototal_rank_lag2	0.00125321897355543	0.000969285626124748	0.00279211255364224
ctrx_quarter_tend6	0.0012495437556205	0.0018316821118886	0.00173828018903797
Visa_mconsumospesos_rank_delta2	0.00124773697408241	0.00107917345808949	0.00315063284263132
Visa_mconsumototal_rank	0.00124624748861585	0.000930438078124637	0.00275951980009778
ccaja_ahorro_tend6	0.00124520289761225	0.00319851821629119	0.000412841544896518
Visa_mpagominimo_rank_tend6	0.0012190988516556	0.00121987493848301	0.00230322125047531
vm_fultimo_cierre_tend6	0.00121595575372102	0.00185090899548371	0.00177087294258243
rf_005_019	0.00121429479157792	0.000758829041289863	0.00319952197294801
mpasivos_margen_rank_tend6	0.00120394620012916	0.00222063316941537	0.00225433212015862
mpasivos_margen_rank_lag1	0.00119717514075693	0.00115405425970635	0.00229235699929382
vm_msaldopesos_rank	0.0011923312999625	0.000492219720311157	0.000592101689391059
ccaja_seguridad_lag1	0.0011912313365555	0.000893311716330064	0.000114074637405617
Visa_mpagominimo_rank_lag1	0.0011794934361364	0.00140526601270195	0.00186321907762507
cproductos_delta1	0.0011789271457367	0.000592885618146961	0.000124938888587104
mcaja_ahorro_rank_tend6	0.00116770143842279	0.00186872689518898	0.00225976424574936
rf_007_010	0.00116690188076262	0.00116651991188379	0.000152099516540822
Visa_mconsumospesos_rank	0.0011667670597626	0.00125346992983918	0.00272149492096257
Visa_mpagospesos_rank_lag2	0.00115822375995581	0.00108650475696946	0.0028247053071867
Visa_mlimitecompra_rank_lag1	0.00113695781617813	0.000836833429984955	0.00220544298984193
vm_mlimitecompra_rank_tend6	0.00113611936107744	0.0013392473342274	0.00223803574338639
Visa_mlimitecompra_rank_lag2	0.00112953375942455	0.000999850538342304	0.00227062849693085
rf_002_017	0.00112327530861315	0.000517095196316247	0.00151556303981748
Visa_mconsumospesos_rank_lag2	0.0011189495922644	0.000860098430857315	0.00272692704655332
cdescubierto_preacordado_lag1	0.00111349184796444	0.0014509514242585	0.000858275843337498
mcaja_ahorro_rank_lag1	0.00111261836006568	0.0015345886570408	0.00117877125319137
vmr_Master_mlimitecompra	0.00110115514585308	0.00122186050011176	0.00221630724102341
rf_017_018	0.00110089595989042	0.000746349350191889	0.00192297245912325
Visa_mfinanciacion_limite_rank_lag2	0.00110006974223268	0.0010725350126711	0.00218914661306969
Visa_mconsumospesos_rank_lag1	0.00109826650879714	0.000797694083385252	0.00250420989733283
vm_fechaalta_tend6	0.00109357050956323	0.00174091903582762	0.000798522461839318
Visa_mpagospesos_rank_lag1	0.00108670373640981	0.000974015687607062	0.0024879135205606
vm_mlimitecompra_rank_delta2	0.00108494909091034	0.00144940823410761	0.00241729588788093
rf_015_025	0.00108465304588987	0.000914511468333027	0.00315063284263132
rf_010_017	0.00107578937266157	0.000648248392233806	0.00172198381226574
rf_007_026	0.00107466317919194	0.000753559390623512	0.00275408767450703
cliente_edad	0.00106364932892806	0.00194927876603678	0.00166223043076756
Visa_msaldopesos_rank	0.00105944382836553	0.00139929954421564	0.00155902004454343
Visa_mconsumototal_rank_lag1	0.00105095924652178	0.000723607499145843	0.0024390243902439
